ID_Place,country,city,latitude,longitude
Place_1369,Chile,Calama,-21.1408,-68.5863
Place_1370,Chile,Coquimbo,-29.326,-72.0854
Place_1371,Argentina,San Antonio de los Cobres,-23.6343,-67.0966
Place_1372,Chile,Iquique,-20.4841,-68.8715
Place_1373,Chile,Iquique,-19.5898,-69.1855
Place_1374,Chile,Iquique,-19.7947,-69.8691
Place_1375,Chile,Ovalle,-30.5415,-72.004
Place_1376,Chile,Calama,-21.3128,-68.7204
Place_1377,Argentina,Antofagasta de la Sierra,-24.6788,-67.9169
Place_1378,Argentina,Albardón,-31.4038,-68.6078
Place_1379,Chile,Iquique,-20.2189,-70.3087
Place_1380,Argentina,San Antonio de los Cobres,-23.9592,-66.8317
Place_1381,Argentina,San Antonio de los Cobres,-24.37,-67.1117
Place_1382,Chile,Iquique,-20.8417,-68.9305
Place_1383,Chile,Calama,-21.9155,-68.8048
Place_1384,Peru,Estique,-17.6093,-69.7789
Place_1385,Chile,Antofagasta,-23.9981,-70.8138
Place_1386,Argentina,Abra Pampa,-22.4737,-66.0453
Place_1387,Chile,Santa Cruz,-34.7632,-71.7751
Place_1388,Argentina,San Antonio de los Cobres,-23.9701,-66.8612
Place_1389,Argentina,Villa Basilio Nievas,-31.5336,-68.8783
Place_1390,Chile,La Ligua,-32.1399,-71.8978
Place_1391,Chile,Coquimbo,-29.3683,-72.0032
Place_1392,Chile,Diego de Almagro,-25.7516,-69.5844
Place_1393,Peru,Estique,-17.5498,-69.8281
Place_1394,Peru,Palca,-17.6096,-69.7437
Place_1395,Peru,Estique,-17.5168,-69.8323
Place_1396,Peru,Tarata,-17.468,-69.8851
Place_1397,Peru,Estique,-17.5082,-69.7816
Place_1398,Peru,Estique,-17.5285,-69.8417
Place_1399,Peru,Estique,-17.5772,-69.808
Place_1400,Argentina,Tafí del Valle,-27.1313,-65.8527
Place_1401,Argentina,Tafí del Valle,-27.0335,-65.847
Place_1402,Peru,Estique,-17.5069,-69.8917
Place_1403,Peru,Tarata,-17.4809,-69.8895
Place_1404,Chile,Iquique,-20.9306,-68.8363
Place_1405,Chile,Iquique,-20.4322,-69.2008
Place_1406,Peru,Locumba,-17.5656,-70.8449
Place_1407,Chile,San Pedro de Atacama,-22.3147,-67.1466
Place_1408,Chile,Illapel,-31.9114,-72.2129
Place_1409,Chile,Quellón,-43.3222,-75.9915
Place_1410,Chile,Copiapó,-27.2861,-70.0623
Place_1411,Chile,Diego de Almagro,-26.1788,-70.7351
Place_1412,Chile,Calama,-21.8308,-68.7223
Place_1413,Chile,Calama,-21.3918,-68.749
Place_1414,Chile,Calama,-22.1976,-68.5687
Place_1415,Chile,Diego de Almagro,-26.7908,-69.9851
Place_1416,Chile,Arica,-19.1115,-69.5295
Place_1417,Argentina,San Martín,-33.1552,-68.425
Place_1418,Chile,Calama,-21.928,-68.6119
Place_1419,Chile,Iquique,-20.6862,-70.1472
Place_1420,Argentina,Pocito,-32.1749,-68.5508
Place_1421,Argentina,El Aguilar,-23.1201,-66.57
Place_1422,Chile,Taltal,-24.6008,-70.5014
Place_1423,Chile,Calama,-21.8767,-68.5665
Place_1424,Chile,San Pedro de Atacama,-23.3257,-68.5687
Place_1425,Chile,Calama,-21.1953,-68.5485
Place_1426,Chile,Coquimbo,-29.5604,-72.2982
Place_1427,Chile,Iquique,-20.3058,-70.1446
Place_1428,Bolivia,Poopó,-18.7786,-67.8614
Place_1429,Argentina,San Martín,-32.8887,-68.1695
Place_1430,Argentina,Calingasta,-31.4884,-69.2418
Place_1431,Chile,Iquique,-20.7011,-70.7862
Place_1432,Argentina,El Aguilar,-23.0355,-66.6507
Place_1433,Chile,Iquique,-20.2355,-70.1328
