ID_Date,ID_Place,ID_Mag,mag,depth,dmin
Date_0345,Place_0345,mb,4.5,119.74,147.118
Date_0346,Place_0346,mb,4.1,67.32,34.917
Date_0347,Place_0347,mwr,4.5,180.99,185.593
Date_0348,Place_0348,mb,4.1,107.85,72.058
Date_0349,Place_0349,mb,4.6,108.22,47.26
Date_0350,Place_0350,mwr,4.3,10.17,139.89
Date_0351,Place_0351,mwr,4.1,38.4,47.371
Date_0352,Place_0352,mb,4.2,121.12,81.176
Date_0353,Place_0353,mb,4.3,42.9,24.686
Date_0354,Place_0354,mb,4.2,220.9,108.642
Date_0355,Place_0355,mb,4.3,207.19,186.038
Date_0356,Place_0356,mb,4.4,10.0,375.856
Date_0357,Place_0357,mb,4.3,10.0,177.253
Date_0358,Place_0358,mb,4.1,53.48,38.809
Date_0359,Place_0359,mb,4.4,107.93,137.332
Date_0360,Place_0360,mb,4.3,191.12,172.471
Date_0361,Place_0361,mb,4.3,15.49,26.132
Date_0362,Place_0362,mb,4.3,108.88,41.478
Date_0363,Place_0363,mww,5.2,136.9,88.293
Date_0364,Place_0364,mb,4.1,116.61,30.469
Date_0365,Place_0365,mb,4.0,21.66,208.611
Date_0366,Place_0366,mb,4.0,202.9,156.57
Date_0367,Place_0367,mb,4.3,10.0,68.054
Date_0368,Place_0368,mb,4.3,133.91,74.393
Date_0369,Place_0369,mb,4.4,8.17,103.305
Date_0370,Place_0370,mwr,4.7,125.96,11.454
Date_0371,Place_0371,mb,4.6,31.26,43.479
Date_0372,Place_0372,mb,4.2,194.63,205.942
Date_0373,Place_0373,mb,4.4,91.01,52.486
Date_0374,Place_0374,mwr,4.2,180.86,167.69
Date_0375,Place_0375,mb,4.2,10.0,187.038
Date_0376,Place_0376,mb,4.1,10.0,113.869
Date_0377,Place_0377,mwr,4.7,61.28,44.369
Date_0378,Place_0378,mwr,4.1,64.35,28.801
Date_0379,Place_0379,mwr,4.4,53.29,74.059
Date_0380,Place_0380,mb,4.4,109.12,89.071
Date_0381,Place_0381,mb,4.6,229.15,238.19
Date_0382,Place_0382,mb,4.3,215.63,141.002
Date_0383,Place_0383,mwr,4.2,10.0,276.888
Date_0384,Place_0384,mwr,4.8,25.7,39.81
Date_0385,Place_0385,mwr,4.2,10.0,135.33
Date_0386,Place_0386,mb,4.2,100.53,38.698
Date_0387,Place_0387,mb,4.4,70.04,48.817
Date_0388,Place_0388,mb,4.6,80.0,114.87
Date_0389,Place_0389,mb,4.0,174.41,133.218
Date_0390,Place_0390,mb,4.4,42.63,41.033
Date_0391,Place_0391,mb,4.2,64.99,45.703
Date_0392,Place_0392,mb,4.2,192.62,158.905
Date_0393,Place_0393,mwr,4.6,34.4,36.474
Date_0394,Place_0394,mb,4.3,190.89,163.575
Date_0395,Place_0395,mb,4.3,10.0,51.486
Date_0396,Place_0396,mb,4.4,35.0,108.865
Date_0397,Place_0397,ml,3.2,54.27,33.582
Date_0398,Place_0398,mb,4.3,186.27,254.426
Date_0399,Place_0399,mwr,4.6,10.0,166.578
Date_0400,Place_0400,mb,4.0,114.71,42.145
Date_0401,Place_0401,mb,4.4,109.61,62.939
Date_0402,Place_0402,mb,4.4,139.16,120.763
Date_0403,Place_0403,mww,4.9,103.64,113.646
Date_0404,Place_0404,mb,4.2,88.37,43.479
Date_0405,Place_0405,mb,4.2,200.04,179.366
Date_0406,Place_0406,mwr,4.2,99.0,46.704
Date_0407,Place_0407,ml,2.3,31.6,24.909
Date_0408,Place_0408,mb,4.5,258.73,262.543
Date_0409,Place_0409,mb,4.5,108.15,80.842
Date_0410,Place_0410,mb,4.3,13.86,275.554
Date_0411,Place_0411,mb,4.3,109.66,41.255
Date_0412,Place_0412,mb,4.3,161.47,182.479
Date_0413,Place_0413,mb,4.5,238.05,224.735
Date_0414,Place_0414,mb,4.5,234.09,131.772
Date_0415,Place_0415,mb,4.4,190.88,142.558
Date_0416,Place_0416,mb,4.6,146.67,121.764
Date_0417,Place_0417,mb,4.4,201.1,167.245
Date_0418,Place_0418,mb,4.3,128.78,123.877
Date_0419,Place_0419,mb,4.5,58.67,62.606
Date_0420,Place_0420,mb,4.2,131.34,49.484
Date_0421,Place_0421,mwr,4.8,107.6,14.79
Date_0422,Place_0422,mwr,4.9,120.32,122.098
Date_0423,Place_0423,mb,4.2,37.44,65.719
